# python-면접 — 필수(S급) 플래시카드. scripts/make-flashcards.py 가 생성한다 (직접 고치지 말 것)
# 앞면	뒷면	태그
Q14. GIL とは何で、何が制限されますか？	CPython のインタプリタが同時に一つのスレッドしか Python バイトコードを実行させない仕組みです。制限されるのは **CPU バウンドの並列化**で、I/O 待ちの間は GIL が解放されるので、ネットワークやファイル待ちが多い処理はスレッドでも効果があります。<br><br>— GIL 이란	python Q14 빈출
Q15. スレッド・プロセス・asyncio はどう使い分けますか？	判断の起点は「待っているのか、計算しているのか」です。I/O バウンドで接続数が多いなら asyncio、既存のブロッキングライブラリを使うならスレッド、CPU バウンドなら `multiprocessing` でプロセスに分けます。<br><br>— 스레드·프로세스·asyncio 사용 구분	python Q15 빈출
Q16. `async`/`await` はどう動きますか？	**コルーチンの中でブロッキング処理を呼ぶとイベントループ全体が止まる**ことです。同期的なライブラリを使うなら `run_in_executor` でスレッドに逃がします。<br><br>— async/await 의 동작	python Q16 함정 실무
Q2. デフォルト引数にリストを指定すると何が起きますか？	デフォルト値は関数の定義時に一度だけ評価されるので、呼び出しをまたいで同じオブジェクトが使い回されます。対策は `None` を既定にして、関数の中で `if x is None: x = []` とすることです。<br><br>— 기본 인자에 리스트를 지정하면 생기는 문제	python Q2 함정
Q3. 浅いコピーと深いコピーの違いは？	浅いコピーは一段目だけを新しく作り、中の要素は元と同じオブジェクトを参照します。ネストした構造を浅くコピーすると内側の変更が元にも及ぶので、必要なときだけ `copy.deepcopy` を使い、そもそも不変にする設計を優先します。<br><br>— 얕은 복사와 깊은 복사의 차이	python Q3 함정
Q26. CPython のメモリ管理はどうなっていますか？	基本は参照カウントで、参照が 0 になった瞬間に解放されます。ただし**循環参照は参照カウントでは消えない**ので、世代別のガベージコレクタが補います。<br><br>— CPython 의 메모리 관리	python Q26 빈출
Q8. ジェネレータは何が嬉しいのですか？	値を一度に全部作らず必要になったときに一つずつ返すので、**メモリを要素数に比例させずに済みます**。巨大なファイルの行処理や無限に続く数列を扱えます。ただし一度しか回せません。<br><br>— 제너레이터의 장점	python Q8
Q30. `functools.lru_cache` を使うときの注意点は？	`maxsize=None` は無制限なので、引数の種類が多い関数に付けるとそのままメモリリークになります。インスタンスメソッドに付けると `self` を掴んでオブジェクトが解放されない点も要注意です。<br><br>— lru_cache 사용 시 주의점	python Q30 변별력
Q33. `pickle` を使うときのリスクは？	**信頼できないデータを `pickle.loads` すると任意のコードが実行されます。**外部から来たデータには絶対に使わず、用途を内部のキャッシュやプロセス間通信に限ります。<br><br>— pickle 의 위험	python Q33 보안
Q40. 外部 API を呼ぶときに必ず設定することは？	タイムアウトの設定です。`requests` はデフォルトで無期限なので、指定しないと相手が応答しないだけでこちらのワーカーが枯渇します。<br><br>— 외부 API 호출 시 반드시 설정하는 것	python Q40 함정 실무
