# spring-면접 — 필수(S급) 플래시카드. scripts/make-flashcards.py 가 생성한다 (직접 고치지 말 것)
# 앞면	뒷면	태그
Q3. 依存性注入は三つの方式のうちどれを使いますか？	コンストラクタ注入です。理由は三つで、フィールドを `final` にできること、必須の依存がシグネチャに現れること、テストで `new` するだけで組み立てられることです。<br><br>— 의존성 주입 세 방식 중 무엇을 쓰나	spring Q3 빈출
Q7. singletonのBeanにprototypeのBeanを注入するとどうなりますか？	期待どおりには動きません。注入は singleton の生成時に一度だけなので、**以後ずっと同じインスタンスが使われます**。毎回必要なら `ObjectProvider` を使います。<br><br>— 싱글턴 빈에 프로토타입 빈을 주입하면 어떻게 되나	spring Q7 함정
Q4. 循環参照はなぜ起きて、どう直しますか？	A が B を、B が A を必要とする状態です。Spring Boot 2.6 から既定で禁止されました。回避設定は対症療法で、**本質的には責務の分割が間違っている**ので、共通部分を第三のクラスに切り出します。<br><br>— 순환 참조는 왜 일어나고 어떻게 고치나	spring Q4
Q14. Spring Boot の自動構成(auto-configuration)はどう動きますか？	`@EnableAutoConfiguration` が設定クラスの一覧を読み込み、各クラスに付いた `@ConditionalOnClass` や `@ConditionalOnMissingBean` で**条件に合うものだけが有効になります**。だからクラスパスに依存を足すだけで設定が入るように見えます。<br><br>— Spring Boot 자동 구성은 어떻게 동작하나	spring Q14 빈출
Q35. 同じクラス内のメソッドを呼ぶと `@Transactional` が効かないのはなぜですか？	自己呼び出しがプロキシを通らないからです。プロキシが挟まるのは外部から呼ばれたときだけで、内部の `this.method()` は素のオブジェクトの呼び出しになります。対処は呼び出し側を別のBeanに分けることです。<br><br>— 같은 클래스 안의 메서드를 부르면 @Transactional 이 안 걸리는 이유	spring Q35 빈출
Q42. `@Transactional` はどんな例外でロールバックしますか？	既定では `RuntimeException` と `Error` だけです。**チェック例外ではロールバックせず、そのままコミットされます**。戻したいなら `rollbackFor` を明示するか、最初からランタイム例外に包みます。<br><br>— @Transactional 은 어떤 예외에서 롤백하나	spring Q42 함정
Q34. JDK動的プロキシとCGLIBプロキシの違いは？	JDK動的プロキシはインターフェースが必須、CGLIBは対象クラスを継承します。Spring Boot は既定でCGLIBなので、**`final` クラスやメソッドにはプロキシを掛けられません**。<br><br>— JDK 동적 프록시와 CGLIB 프록시의 차이	spring Q34
Q38. トランザクション伝播の `REQUIRED` と `REQUIRES_NEW` の違いは？	`REQUIRED` は既存に参加するので、内側でロールバックすると外側も巻き込まれます。`REQUIRES_NEW` は別のコネクションで新しく始めるので、外側がロールバックしても内側のデータは残ります。<br><br>— 전파 속성 REQUIRED 와 REQUIRES_NEW 의 차이	spring Q38
Q47. `@Transactional` が効かないケースを挙げてください。	自己呼び出し、`private` メソッド、`final`、Beanでないクラス、別スレッドです。共通しているのは**プロキシを経由しない**という点です。<br><br>— @Transactional 이 안 걸리는 경우	spring Q47
Q45. トランザクションの中で外部API呼び出しをしてもよいですか？	避けるべきです。相手が遅いとその間ずっとDBコネクションを握り続け、プールが枯渇してアプリ全体が止まります。DBのコミット後にイベントで呼び出す形にします。<br><br>— 트랜잭션 안에서 외부 API 를 호출해도 되나	spring Q45 실무
Q56. リクエストが来てからレスポンスを返すまでの流れを説明してください。	`DispatcherServlet` が受け取り、`HandlerMapping` で担当を決め、`HandlerAdapter` が呼び出し、その前後で `Interceptor` が動きます。戻り値は `HttpMessageConverter` か `ViewResolver` が処理し、例外は `HandlerExceptionResolver` が扱います。<br><br>— 요청이 와서 응답을 반환하기까지의 흐름	spring Q56 빈출
Q66. Filter・Interceptor・AOP はどう使い分けますか？	Filterはサーブレットコンテナのレベル、InterceptorはSpring MVCの内部、AOPはBeanのメソッド単位です。**どのレイヤーの情報が必要かで決まります**。<br><br>— 필터·인터셉터·AOP 의 사용 구분	spring Q66 빈출
Q64. HTTPステータスコードはどう使い分けますか？	エラーを200で返してボディのフラグで示すと、**リトライも監視もキャッシュも全部機能しなくなります**。ステータスコードはプロトコルの一部として正しく使います。<br><br>— HTTP 상태 코드는 어떻게 구분해 쓰나	spring Q64
Q76. Tomcat のスレッドプール設定はどう決めますか？	重要なのは**下流の上限と揃える**ことです。スレッドを400にしてもDBコネクションプールが20なら、380個は待つだけで、むしろ待ち行列が伸びて応答が悪化します。<br><br>— Tomcat 스레드풀 설정은 어떻게 정하나	spring Q76 실무
Q89. N+1問題とは何ですか？	一覧のクエリが1回、各要素の関連を取るクエリがN回発行される状態です。遅延ロードでループ中に関連へアクセスした瞬間に個別クエリが走ります。**本番のデータ量で初めて顕在化する**のが厄介です。<br><br>— N+1 문제란	spring Q89 빈출
Q92. fetch join とページングを一緒に使うとどうなりますか？	コレクションの fetch join にページングを掛けると、**Hibernateは limit 句を付けずに全件を取得し、メモリ上でページングします**。警告は出ますが例外にならないので、データが増えたときにOOMになります。<br><br>— fetch join 과 페이징을 함께 쓰면 어떻게 되나	spring Q92 변별력
Q94. OSIV(Open Session In View)を無効にする理由は？	有効だと**ビューのレンダリングが終わるまでDBコネクションを保持し続ける**からです。トラフィックが増えるとプールが枯渇します。無効にすると `LazyInitializationException` が出ますが、それは問題が可視化されただけです。<br><br>— OSIV 를 끄는 이유	spring Q94 실무
Q108. コネクションプールが枯渇したとき、原因をどう切り分けますか？	スロークエリなら**必ず返却されるので使用時間の分布に現れ**、p99が伸びます。リークなら**そもそも返却されず分布に現れない**のに active だけ増え続けます。`leakDetectionThreshold` を設定すれば借りた時点のスタックトレースが出ます。<br><br>— 커넥션 풀이 고갈됐을 때 원인을 어떻게 가리나	spring Q108 변별력
