# db-면접 — 필수(S급) 플래시카드. scripts/make-flashcards.py 가 생성한다 (직접 고치지 말 것)
# 앞면	뒷면	태그
Q5. 複合インデックスの列の順序はなぜ重要ですか？	先頭の列から順にしか使えないからです。`(A, B)` のインデックスは A の条件では効きますが、**B だけの条件では効きません**。等値条件でよく使う列を先に、範囲条件の列を後ろに置きます。<br><br>— 복합 인덱스의 컬럼 순서<br>실행 근거: DB-14	db Q5 빈출 DB-14
Q4. インデックスがあるのに使われないのはどんなときですか？	大きく三つです。条件が列を加工しているとき、中間一致のとき、そして**選択率が悪くて全件読んだ方が速いと判断されたとき**です。最後は正常な動作なので、実行計画で理由を確認します。<br><br>— 인덱스가 있는데 안 쓰이는 경우<br>실행 근거: DB-03	db Q4 함정 DB-03
Q7. 実行計画では何を見ますか？	まずアクセス方法、次に結合の方法と順序、そして**見積もりの行数と実際の行数の差**を見ます。差が大きければ統計が古いか、条件の書き方が推定を狂わせています。<br><br>— 실행 계획에서 보는 것<br>실행 근거: DB-03	db Q7 DB-03
Q11. 分離レベルの違いを現象で説明してください。	READ COMMITTED では同じ行を二度読むと値が変わりうる、いわゆる反復不能読み取りが起きます。REPEATABLE READ ではスナップショットが保たれるので変わりません。SERIALIZABLE は競合時に失敗するので**リトライの実装が前提**です。<br><br>— 격리 수준을 현상으로 설명<br>실행 근거: DB-01	db Q11 빈출 DB-01
Q15. デッドロックはなぜ起きて、どう対処しますか？	複数のトランザクションが**違う順序で**ロックを取り合うと起きます。一番実効性がある対策はアクセス順序をそろえることで、ゼロにはできないので**再試行を前提に設計**します。<br><br>— 데드락의 원인과 대처<br>실행 근거: DB-07	db Q15 빈출 DB-07
Q12. MVCC とは何ですか？	行の複数バージョンを持ち、読み取りは自分のスナップショットに合うバージョンを見る仕組みで、**読み取りが書き込みをブロックしません**。代わりに古いバージョンが溜まるので、長時間開きっぱなしのトランザクションはテーブルを膨らませます。<br><br>— MVCC 란	db Q12 변별력
Q17. コネクションプールのサイズはどう決めますか？	大きくすれば速いわけではありません。DB 側は CPU とディスクで並列度が決まるので、それを超えて渡しても**待ち行列が DB の中に移るだけ**です。アプリのインスタンス数 × プールサイズが DB の最大接続数を超えないことも必ず確認します。<br><br>— 커넥션 풀 사이즈 결정<br>실행 근거: DB-02	db Q17 빈출 실무 DB-02
Q18. コネクションプールが枯渇したとき、原因をどう切り分けますか？	三つに分けます。リーク、占有が長い、単純な容量不足です。見分け方は**負荷を止めた後**で、負荷が終わってもアクティブが減らないならリーク、負荷中だけ張り付くなら占有時間か容量の問題です。<br><br>— 커넥션 풀 고갈의 원인 분리<br>실행 근거: DB-06	db Q18 변별력 DB-06
Q19. SQL インジェクションはどう防ぎますか？	パラメータバインディングです。値としてドライバに渡すので構文として解釈されません。注意点は**バインドできない場所がある**ことで、テーブル名や並び替えの列名はホワイトリストで対応付けます。<br><br>— SQL 인젝션 방어<br>실행 근거: DB-04 · DB-19	db Q19 보안 DB-04 DB-19
Q35. 同じ処理が二回実行されても大丈夫にするにはどうしますか？	冪等にします。リクエストごとの一意なキーを受け取り、**そのキーにユニーク制約を張って**二回目を弾きます。アプリで確認してから実行する方式は、同時に来ると両方が通ってしまいます。<br><br>— 같은 처리가 두 번 실행돼도 괜찮게 만들기<br>실행 근거: DB-12	db Q35 실무 DB-12
