# kafka-면접 — 필수(S급) 플래시카드. scripts/make-flashcards.py 가 생성한다 (직접 고치지 말 것)
# 앞면	뒷면	태그
Q3. 順序保証はどこまでされますか？	**同じパーティションの中だけ**です。トピック全体では保証されません。だから順序が必要な単位をキーにします。同じキーは常に同じパーティションへ行くので、その中では順序が保たれます。<br><br>— 순서 보장의 범위<br>실행 근거: KAFKA-01	kafka Q3 빈출 KAFKA-01
Q5. コンシューマグループはどういう仕組みですか？	同じグループ ID のコンシューマでパーティションを分担し、一つのパーティションはグループ内の一つのコンシューマだけが読みます。別のグループを作れば、同じデータを独立して最初から読めます。<br><br>— 컨슈머 그룹의 구조<br>실행 근거: KAFKA-05	kafka Q5 빈출 KAFKA-05
Q13. コンシューマを増やせばその分速くなりますか？	パーティション数までは効きますが、**それを超えたコンシューマは割り当てを受けられず待つだけ**です。だからオートスケールの上限はパーティション数になります。<br><br>— 컨슈머를 늘리면 그만큼 빨라지나<br>실행 근거: KAFKA-05	kafka Q13 함정 KAFKA-05
Q10. Exactly-Once は何を保証しますか？	保証されるのは **Kafka の中で完結する範囲**です。外部の DB や API への副作用までは保証されないので、そこは冪等キーなどアプリ側の設計で守ります。「EOS があるから重複対策は不要」は誤解です。<br><br>— Exactly-Once 가 보장하는 것<br>실행 근거: KAFKA-04	kafka Q10 함정 변별력 KAFKA-04
Q11. オフセットのコミットはどう扱いますか？	自動コミットは処理が終わる前にコミットされて**失敗したメッセージを取りこぼす**ことがあります。処理後に手動でコミットすると at-least-once になるので、**処理は冪等に作る**のが前提です。<br><br>— 오프셋 커밋 취급	kafka Q11 실무
Q7. `acks` の設定はどう選びますか？	データを失いたくないなら `acks=all` です。ただしそれだけでは足りず、**`min.insync.replicas` を 2 以上にして初めて意味を持ちます**。レプリカが一つしか生きていない状態で `all` にしても、それが落ちれば失われます。<br><br>— acks 설정 선택	kafka Q7
Q15. 処理に失敗したメッセージはどうしますか？	その場で無限に再試行すると、**後ろのメッセージが全部止まります**。一つの毒メッセージでパーティションが詰まるのが典型的な障害なので、回数を決めて再試行し、超えたら別のトピックに退避します。<br><br>— 처리 실패 메시지 처리<br>실행 근거: KAFKA-03	kafka Q15 함정 실무 KAFKA-03
Q12. コンシューマラグは何を意味しますか？	発行された最新のオフセットと処理済みのオフセットの差で、追いついていない量を示します。見方の要点は**傾き**で、一時的に増えても減っていくならピークを吸収できています。<br><br>— 컨슈머 랙의 의미<br>실행 근거: KAFKA-02	kafka Q12 빈출 KAFKA-02
Q31. トラフィックの急増を Kafka でどう吸収しますか？	瞬間的なピークならキューが吸収しますが、**戻らないなら容量不足**です。ラグの傾きを見て、増え続けるならコンシューマを増やすか処理を速くします。キューは時間を稼ぐだけで処理能力は増やしません。<br><br>— 트래픽 급증 흡수<br>실행 근거: MSA-03	kafka Q31 실무 MSA-03
Q26. DB 更新とイベント発行を確実に一致させるには？	DB とブローカーは別のシステムなので一つのトランザクションにはできません。Outbox パターンで、**業務データと同じトランザクションで送信予定を専用テーブルに書き**、別プロセスが読んで発行します。<br><br>— DB 갱신과 이벤트 발행의 일치<br>실행 근거: MSA-01	kafka Q26 설계 MSA-01
