# java-면접 — 필수(S급) 플래시카드. scripts/make-flashcards.py 가 생성한다 (직접 고치지 말 것)
# 앞면	뒷면	태그
Q2. `equals()` をオーバーライドするとき `hashCode()` も一緒に実装する理由は？	等しいオブジェクトは同じハッシュコードを返す、という契約があるからです。破ると `HashMap` が壊れ、`put` した値を `get` で取り出せなくなります。<br><br>— equals 를 오버라이드할 때 hashCode 도 함께 구현하는 이유	java Q2 빈출
Q8. `Integer` を `==` で比較すると値によって結果が変わるのはなぜですか？	`-128` から `127` まではキャッシュされたインスタンスが再利用されるので `==` でも `true` になりますが、それを超えると別インスタンスになり `false` になります。だからラッパー型は必ず `equals()` で比べます。<br><br>— Integer 를 == 로 비교하면 값에 따라 결과가 달라지는 이유	java Q8 함정
Q3. `String` が不変(immutable)である理由は何ですか？	理由は三つあります。文字列プールで安全に共有できること、ハッシュコードをキャッシュできるので `HashMap` のキーとして速いこと、そしてスレッドセーフになることです。<br><br>— String 이 불변인 이유	java Q3
Q16. 不変(immutable)クラスはどう作りますか？	クラスを `final` にし、フィールドを `private final` にし、setter を作りません。見落としやすいのは**可変オブジェクトの防御的コピー**で、受け取るときと返すときの両方でコピーする必要があります。<br><br>— 불변 클래스를 만드는 방법	java Q16
Q18. チェック例外と非チェック例外の違いと使い分けは？	基準は**呼び出し側が回復できるか**です。代替手段を取れるならチェック例外、引数が不正などプログラムのバグならランタイム例外にします。<br><br>— 체크 예외와 언체크 예외의 차이와 사용 구분	java Q18
Q20. `finally` の中で `return` するとどうなりますか？	`try` 側の `return` や例外を上書きしてしまいます。例外が投げられていても握りつぶされて原因が消えるので、`finally` の中では `return` も `throw` も書かないのが原則です。<br><br>— finally 안에서 return 하면 어떻게 되나	java Q20 함정
Q35. `HashMap` の内部構造と `put` の流れを説明してください。	キーの `hashCode()` に補助ハッシュをかけてインデックスを決め、バケットが空なら新規ノード、既にあれば `equals()` で同じキーを探して上書きか末尾追加です。閾値を超えるとリサイズします。<br><br>— HashMap 의 내부 구조와 put 의 흐름	java Q35 빈출
Q36. ハッシュ衝突が起きるとどうなりますか？	同じバケットに連結リストとして繋がります。Java 8 からは、ノードが8個を超え配列長が64以上ならレッドブラックツリーに変換され、最悪ケースが O(log n) に抑えられます。<br><br>— 해시 충돌이 나면 어떻게 되나	java Q36
Q38. `HashMap` のキーに可変オブジェクトを使うとどうなりますか？	`put` 後にキーを変更すると `hashCode` が変わり、そのエントリを二度と取り出せなくなります。だからキーには不変オブジェクトを使うのが原則です。<br><br>— HashMap 의 키로 가변 객체를 쓰면 어떻게 되나	java Q38 함정
Q40. `ConcurrentHashMap` を使っていれば `get` してから `put` する処理も安全ですか？	いいえ。個々のメソッドはアトミックですが、`get` して判断して `put` する**組み合わせはアトミックではありません**。`compute` や `putIfAbsent` のような複合操作用メソッドを使います。<br><br>— ConcurrentHashMap 을 쓰면 get 후 put 하는 처리도 안전한가	java Q40 함정
Q60. `volatile` と `synchronized` の違いは？	`volatile` は**可視性と並べ替え防止だけ**を保証し、相互排他はしません。だから `count++` のような読み書き複合の操作は守れません。`volatile` が正しいのは、フラグのように単純な代入と読み取りだけの場合です。<br><br>— volatile 과 synchronized 의 차이	java Q60 빈출
Q67. `ThreadLocal` は何のためにあり、何に注意しますか？	スレッドが使い回されるので、`remove()` を呼ばないと**前のリクエストの値が次のリクエストに漏れます**。情報漏洩にもメモリリークにもなるので、`finally` で必ず `remove()` します。<br><br>— ThreadLocal 은 무엇을 위한 것이고 무엇을 주의하나	java Q67 함정 실무
Q71. スレッドプールのサイズはどう決めますか？	CPUバウンドならコア数程度、I/Oバウンドなら「コア数 × (1 + 待ち時間 / 処理時間)」が目安です。ただし**DBを使う処理ではコネクションプールが上限になる**ので、そちらと揃えないと意味がありません。<br><br>— 스레드풀 크기는 어떻게 정하나	java Q71
Q72. `Executors.newFixedThreadPool()` を本番で使わない方がよい理由は？	内部のキューが**容量無制限**だからです。処理が追いつかないとタスクが際限なく溜まり、最終的に `OutOfMemoryError` になります。本番では `ThreadPoolExecutor` を直接組み立て、キュー容量と拒否ポリシーを明示します。<br><br>— newFixedThreadPool 을 프로덕션에서 쓰지 않는 편이 좋은 이유	java Q72 변별력
Q75. デッドロックはなぜ起き、どう防ぎますか？	複数のロックを**異なる順序**で取りに行き、互いに相手の解放を待つと起きます。一番実効性がある対策は**ロックの取得順序を全体で統一する**ことで、これだけで循環待ちが消えます。<br><br>— 데드락은 왜 일어나고 어떻게 막나	java Q75 빈출
Q90. Minor GC と Full GC の違いは？	Minor GC は Young 領域だけなので短時間で終わり、Full GC は Old まで含むので停止時間が長くなります。だから運用で見るべきは**Full GCの頻度と時間**です。<br><br>— Minor GC 와 Full GC 의 차이	java Q90
Q96. Javaにメモリリークはありますか？あるならどんな形ですか？	あります。**不要になったのに参照が残っている**状態です。代表的なのは、`static` なコレクションへの追加、リスナーの登録解除漏れ、`ThreadLocal` の `remove` 忘れ、上限のないキャッシュの四つです。<br><br>— Java 에 메모리 누수가 있나, 있다면 어떤 형태인가	java Q96 변별력
Q97. メモリリークをどう調査しますか？	まずGCログで、**Full GCの後もヒープが減らない**ことを確認します。次にヒープヒストグラムを時間を空けて二回取り、増え続けているクラスを特定します。最後にヒープダンプで、**増えているものではなく、それを掴んでいるもの**を探します。<br><br>— 메모리 누수를 어떻게 조사하나	java Q97 실무
